City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,dongola,19.1667,30.4833,22.61,15,0,7.56,SD,1711312589
165,ada,43.4166,-116.1262,11.38,64,40,6.26,US,1711312589
166,uturoa,-16.7333,-151.4333,28.54,73,14,4.54,PF,1711312590
167,uttar char fasson,22.2332,90.7132,24.9,89,9,3.25,BD,1711312590
168,indiantown,27.0273,-80.4856,26.09,74,78,7.54,US,1711312590
169,dryden,49.7833,-92.7503,-3.84,30,40,2.57,CA,1711312590
170,aramil,56.6977,60.8369,1.06,86,100,5.0,RU,1711312590
171,bridgeport,41.167,-73.2048,8.88,34,0,3.6,US,1711312313
172,boise,43.6135,-116.2035,12.18,64,75,5.66,US,1711311969
173,brandon,27.9378,-82.2859,26.63,61,75,7.2,US,1711312406
174,alice springs,-23.7,133.8833,17.34,99,100,1.34,AU,1711312591
175,chernushka,56.5072,56.0766,0.56,99,100,4.44,RU,1711312339
176,broken hill,-31.95,141.4333,13.84,35,1,4.14,AU,1711312591
177,kwang binh,17.4833,106.6,23.42,91,0,2.52,VN,1711312591
178,pacific grove,36.6177,-121.9166,16.12,78,75,5.81,US,1711312591
179,rabo de peixe,37.8,-25.5833,13.73,77,20,8.23,PT,1711312591
180,mount isa,-20.7333,139.5,22.87,100,100,1.03,AU,1711312591
181,kramfors,62.9316,17.7765,-2.12,93,100,2.57,SE,1711312591
182,kingaroy,-26.5333,151.8333,16.87,99,100,1.43,AU,1711312592
183,crane,31.3974,-102.3501,23.54,19,40,17.0,US,1711312592
184,muang khong,14.1167,105.85,25.69,61,21,1.33,LA,1711312592
185,pospelikha,51.95,81.7667,0.3,93,60,6.33,RU,1711312592
186,kotido,2.9806,34.1331,22.42,73,82,3.66,UG,1711312592
187,tindouf,27.6711,-8.1474,21.25,30,40,5.14,DZ,1711312402
188,andalgala,-27.5819,-66.3165,23.85,45,6,1.68,AR,1711312592
189,saint-francois,46.4154,3.9054,4.69,77,0,0.0,FR,1711312592
190,brisas de zicatela,15.8369,-97.0419,29.29,70,0,3.6,MX,1711312592
191,pinheiro machado,-31.5783,-53.3811,21.89,62,70,1.72,BR,1711312592
192,port saint john's,-31.6229,29.5448,24.33,81,99,9.04,ZA,1711312593
193,harper,4.375,-7.7169,27.24,85,98,3.97,LR,1711312593
194,colonia,50.9333,6.95,7.19,84,75,6.69,DE,1711312360
195,nuku'alofa,-21.1333,-175.2,26.19,89,40,2.57,TO,1711312295
196,talnakh,69.4865,88.3972,-34.06,95,13,1.03,RU,1711312593
197,thompson,55.7435,-97.8558,-13.91,43,40,5.14,CA,1711312593
198,malvan,16.0667,73.4667,25.66,76,0,5.73,IN,1711312593
199,lanark,55.6737,-3.7817,5.74,78,63,1.63,GB,1711312593
200,dauphin,51.1494,-100.0502,-6.92,63,0,3.6,CA,1711312316
201,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,90,75,3.0,RU,1711312593
202,paita,-5.0892,-81.1144,24.92,74,99,6.02,PE,1711312593
203,palikir - national government center,6.9248,158.1611,27.41,78,75,3.09,FM,1711312594
204,tshabong,-26.05,22.45,25.67,38,76,6.65,BW,1711312594
205,naze,28.3667,129.4833,20.51,90,20,5.77,JP,1711312451
206,baymak,52.5933,58.3225,-2.91,92,100,4.16,RU,1711312594
207,lake albert,-35.1667,147.3833,13.93,47,0,0.08,AU,1711312594
208,tahoua,14.8888,5.2692,32.99,8,0,5.14,NE,1711312594
209,archangelos,36.2149,28.1149,14.62,72,100,2.65,GR,1711312594
210,chiredzi,-21.05,31.6667,21.5,87,63,2.79,ZW,1711312594
211,quebo,11.3333,-14.9333,25.04,54,99,2.9,GW,1711312595
212,hamilton,39.1834,-84.5333,13.13,32,0,5.66,US,1711312587
213,mahina,-17.5065,-149.489,30.87,66,20,5.66,PF,1711312595
214,praia da vitoria,38.7333,-27.0667,16.53,82,40,8.49,PT,1711312595
215,manokwari,-0.8667,134.0833,26.21,79,69,0.75,ID,1711312595
216,nemuro,43.3236,145.575,0.0,82,100,1.36,JP,1711312595
217,cape coast,5.1053,-1.2466,27.97,85,9,3.77,GH,1711312595
218,tostado,-29.232,-61.7692,30.75,51,0,2.71,AR,1711312595
219,zabol,32.25,67.25,13.54,35,71,2.38,AF,1711312595
220,bratsk,56.1325,101.6142,-1.73,93,89,2.88,RU,1711312595
221,garissa,-0.4536,39.6401,28.48,68,100,7.85,KE,1711312596
222,dudinka,69.4058,86.1778,-35.74,99,20,1.79,RU,1711312596
223,hilo,19.7297,-155.09,24.85,75,40,4.12,US,1711312401
224,tirthahalli,13.7,75.2333,21.91,65,4,1.06,IN,1711312596
225,stornoway,58.2093,-6.3865,5.98,78,100,4.63,GB,1711312596
226,kavak,41.0783,36.0425,1.09,68,42,1.39,TR,1711312596
227,byalynichy,53.9983,29.7126,1.34,84,66,2.55,BY,1711312596
228,batang,-6.4846,110.7083,26.16,84,100,1.42,ID,1711312596
229,guerrero negro,27.9769,-114.0611,18.25,49,4,10.81,MX,1711312319
230,lunca,43.8333,24.7667,7.54,87,100,5.88,RO,1711312597
231,qaqortoq,60.7167,-46.0333,-0.47,97,86,2.53,GL,1711312597
232,chibuto,-24.6867,33.5306,22.1,93,98,3.22,MZ,1711312597
233,morrope,-6.5417,-80.0111,28.06,60,94,6.91,PE,1711312597
234,bonthe,7.5264,-12.505,25.74,75,100,3.68,SL,1711312597
235,nova vicosa,-17.8919,-39.3719,26.07,80,15,3.65,BR,1711312506
236,aix-les-bains,45.6834,5.9224,6.0,87,0,1.54,FR,1711312597
237,saint-pierre,-21.3393,55.4781,26.21,83,75,10.8,RE,1711312597
238,salur,18.5333,83.2167,25.48,72,33,0.32,IN,1711312597
239,santa maria del oro,25.9333,-105.3667,22.91,10,95,16.64,MX,1711312597
240,pavlodar,52.3,76.95,-0.11,93,0,8.0,KZ,1711312598
241,zeya,53.75,127.2667,-20.29,94,5,1.34,RU,1711312398
242,moroto,2.5345,34.6666,20.92,77,24,1.36,UG,1711312598
243,constantia,44.1833,28.65,8.38,77,75,3.21,RO,1711312443
244,phulbani,20.4667,84.2333,24.08,62,93,2.26,IN,1711312598
245,port mathurin,-19.6833,63.4167,26.23,83,100,5.82,MU,1711312598
246,am timan,11.0297,20.2827,31.89,10,100,4.09,TD,1711312598
247,diapaga,12.0708,1.7889,33.22,16,64,2.77,BF,1711312598
248,porto murtinho,-21.6989,-57.8825,33.11,43,47,4.05,BR,1711312525
249,kencong,-8.2833,113.3667,24.31,92,100,1.24,ID,1711312598
250,queenstown,-31.8976,26.8753,16.45,71,99,1.14,ZA,1711312599
251,cascais,38.6979,-9.4215,18.3,74,80,6.71,PT,1711312423
252,dulovo,43.8167,27.15,9.75,77,79,4.21,BG,1711312599
253,miri,4.4148,114.0089,25.08,100,40,0.51,MY,1711312599
254,quesnel,52.9999,-122.5029,9.28,20,0,1.54,CA,1711312509
255,gallipoli,40.4103,26.6708,13.92,77,31,5.2,TR,1711312599
